"","fulcrum_id","created_at","location","date","processor","processor_other","survey_comments"
"1","291b2139-9be1-4bd5-ba23-e3ef24b4a0b5","2022-06-08 16:43:48 UTC",NA,NA,NA,NA,NA
"2","0e6540d6-c4a0-4165-90b7-21787eb32f0c","2022-06-08 20:35:56 UTC","RV Pond",2022-06-07,"Brandon Hoenig",NA,"App crashed and data was lost. Remaining data is validated. Some bd swabs are lost to unknown Metadata."
"3","bbc29661-86df-4567-9f26-1e6c9314eeac","2022-06-09 02:05:44 UTC","RV Pond",2022-06-08,"Brandon Hoenig",NA,NA
"4","35459c4d-084b-45e2-b535-bec961964109","2022-06-15 03:34:19 UTC","Tuttle Pond",2022-06-14,"Brandon Hoenig",NA,NA
"5","b82ef658-6da6-49f1-bc68-1db0d1a83705","2022-06-16 03:44:06 UTC","Tuttle Pond",2022-06-15,"Emily Jolly",NA,NA
"6","126062c3-8e1c-4a2f-ac5e-c97484ac4dd5","2022-06-16 15:54:53 UTC","Tuttle Pond",2022-06-16,"Emily Jolly",NA,NA
"7","6f4b6963-3db7-4f99-9ba3-31687df5d589","2022-06-15 04:54:31 UTC","Tuttle Pond",2022-06-14,"Emily Jolly",NA,NA
"8","6c6c44e0-d829-4ebd-a93a-e4455911db4f","2022-06-16 03:42:45 UTC","Tuttle Pond",2022-06-15,"Brandon Hoenig",NA,NA
"9","8d311105-b915-4fe3-840f-0297ab7003dd","2022-06-22 16:28:04 UTC","Tryon-Weber",2022-06-22,"Brandon Hoenig",NA,NA
"10","dafc8d8c-039a-48a2-b340-b2e8f9bdf16d","2022-06-23 16:57:38 UTC","Tryon-Weber",2022-06-23,"Emily Jolly",NA,NA
"11","c61de78b-232b-4de7-adc8-3498d141ea74","2022-06-23 16:36:46 UTC","Tryon-Weber",2022-06-23,"Emily Jolly",NA,NA
"12","730e37fe-a68e-42b9-8aa8-97c47eceb579","2022-06-24 02:26:30 UTC","Tryon-Weber",2022-06-23,"Brandon Hoenig",NA,NA
"13","d6bdf081-379b-4b0a-b37d-e15b8d183f95","2022-06-28 04:06:22 UTC","Vorisek Pond",2022-06-27,"Brandon Hoenig",NA,NA
"14","7ab12e7b-4cbc-42cb-811e-dd478a1be99e","2022-06-29 03:15:19 UTC","Vorisek Pond",2022-06-28,"Brandon Hoenig",NA,NA
"15","1f57feb3-7039-4a29-86ac-09f9b0baa008","2022-07-12 04:18:11 UTC","RV Pond",2022-07-11,"Brandon Hoenig",NA,NA
"16","51e01469-2ddc-4231-904c-6e3a1fec5086","2022-07-13 04:13:58 UTC","RV Pond",2022-07-12,"Brandon Hoenig",NA,NA
"17","6fe7e16b-008b-4e1a-9985-b452d3b22abc","2022-07-19 03:42:14 UTC","Tuttle Pond",2022-07-18,"Brandon Hoenig",NA,NA
"18","b84e00e8-e544-4061-b16c-444f392adc16","2022-07-20 02:13:08 UTC","Tuttle Pond",2022-07-19,NA,"Rachel Verdi",NA
"19","4283096b-b956-4501-974c-3bd729831d91","2022-05-05 00:51:40 UTC","Wood Lab Pond",2022-05-04,"Brandon Hoenig",NA,NA
"20","81918035-8727-4979-ae70-dd9eb29b3676","2022-05-06 00:32:22 UTC","Phelps Pond",2022-05-05,"Brandon Hoenig",NA,"Edna was collected. 300ml passed through a 0.45 filter. Stored with swab samples."
"21","3334ebd7-54c0-4e18-a80c-abb313f185f1","2022-05-12 00:40:09 UTC","Admin Pond",2022-05-11,"Brandon Hoenig",NA,"Collected negative control. Just blank swab in open tube and capped. First seven amphibs were soaked in apw while rest were soaked in wood lab water."
"22","b40a6235-d3a6-498b-8cad-5845d07c5378","2022-05-13 00:26:02 UTC","RV Pond",2022-05-12,"Brandon Hoenig",NA,NA
"23","dfaf9677-e878-48ec-96a3-4e92f6af433a","2022-05-19 00:20:30 UTC","Admin Pond",2022-05-18,"Brandon Hoenig",NA,NA
"24","0f868ee9-f2cf-46f2-93c2-fdaa780b3bef","2022-05-20 00:55:56 UTC","Admin Pond",2022-05-19,"Brandon Hoenig",NA,NA
"25","51aa8925-2742-4c94-8d52-73a9d3642fc0","2022-05-20 17:22:56 UTC","Admin Pond",2022-05-20,"Brandon Hoenig",NA,NA
