"","X","fulcrum_id","created_at","observer","observer_other","date","location","start_time","end_time"
"1",1,"ab650c75-134c-4da1-8c84-3a0546637835","2022-05-26 20:57:16 EDT","Brandon Hoenig",NA,"2022-05-26","Wood Lab Pond","20:57:00","21:17:00"
"2",2,"42d6e420-a94d-40fc-bd29-9f71a78c5314","2022-05-26 20:57:30 EDT","Emily Jolly",NA,"2022-05-26","Wood Lab Pond","20:57:00","21:17:00"
"3",3,"7720af50-573c-4fb3-bbaf-8179c2f780fc","2022-05-27 20:42:13 EDT","Emily Jolly",NA,"2022-05-27","Wood Lab Pond","20:43:00",NA
"4",4,"b7141f5d-e059-4309-88ee-4b598ce67720","2022-05-27 20:43:14 EDT","Brandon Hoenig",NA,"2022-05-27","Wood Lab Pond","20:43:00","20:56:00"
"5",5,"e8eee679-6518-480f-9395-980dd5e34496","2022-05-28 10:36:10 EDT","Emily Jolly",NA,"2022-05-28","Wood Lab Pond","10:36:00","10:47:00"
"6",6,"b45745d8-50c3-4b19-86f9-6dcdbf09c933","2022-05-26 20:58:02 EDT","Shane Robertson",NA,"2022-05-26","Wood Lab Pond","20:58:00","21:17:00"
"7",7,"c63b0e57-801f-4967-a001-22f449e7bb95","2022-06-03 20:59:46 EDT","Brandon Hoenig",NA,"2022-06-03","Phelps Pond","20:59:00","21:25:00"
"8",8,"1004c317-9c0b-42f0-b25a-10fedccf40dd","2022-06-03 20:59:50 EDT","Emily Jolly",NA,"2022-06-03","Phelps Pond","20:59:00","21:25:00"
"9",9,"4a93929d-c650-4c82-a8e2-87f10f5a4c90","2022-06-14 21:10:49 EDT","Emily Jolly",NA,"2022-06-14","Tuttle Pond","21:18:00","21:38:00"
"10",10,"563a3f65-d811-4a26-91c3-a1cc7dbe6cf1","2022-06-03 21:25:11 EDT","Brandon Hoenig",NA,"2022-06-03",NA,"20:57:00","21:26:00"
"11",11,"9789a72f-46e6-473a-819f-689ed0671987","2022-06-14 21:10:45 EDT","Brandon Hoenig",NA,"2022-06-14","Tuttle Pond","21:15:00","21:35:00"
"12",12,"3872d47e-5ec8-41a4-b319-73fd789634ea","2022-06-15 21:33:31 EDT","Brandon Hoenig",NA,"2022-06-15","Tuttle Pond","21:33:00","21:56:00"
"13",13,"1636d7c9-e2ec-4e70-82f6-a2ccf8888a12","2022-06-27 22:14:22 EDT","Myah Madril",NA,"2022-06-27","Vorisek Pond","22:14:00","22:34:00"
"14",14,"07d553cd-e1e4-47d7-ab61-e8d9bd61c5ff","2022-06-27 22:14:08 EDT","Brandon Hoenig",NA,"2022-06-27","Vorisek Pond","22:16:00","22:34:00"
"15",15,"8754e655-4726-4e66-9c9d-bc82d8b2d25b","2022-06-27 22:14:06 EDT","Sydney Dawson",NA,"2022-06-27","Vorisek Pond","22:14:00",NA
"16",16,"f786309e-6285-4653-9f0d-76060d716963","2022-07-11 21:39:40 EDT","Sydney Dawson",NA,"2022-07-11","RV Pond","21:39:00","22:03:00"
"17",17,"0600fea9-7be7-4ef3-afb6-1ab6f55eea8b","2022-07-11 21:39:56 EDT","Myah Madril",NA,"2022-07-11","RV Pond","21:40:00","22:02:00"
"18",18,"9db6c92d-6bfe-46e8-8b40-b964eb231491","2022-07-11 21:39:54 EDT","Brandon Hoenig",NA,"2022-07-11","RV Pond","21:40:00","22:02:00"
"19",19,"ac2e66df-4767-446d-aea1-a4fb1e892c49","2022-07-18 21:30:20 EDT","Myah Madril",NA,"2022-07-18","Tuttle Pond","21:30:00","21:52:00"
"20",20,"b45745d8-50c3-4b19-86f9-6dcdbf09c933","2022-05-27 00:58:02 UTC","Shane Robertson",NA,"2022-05-26","Wood Lab Pond","20:58:00","21:17:00"
